title,thumbnail,tags,release_date,rating,num_reviews,original_price NTD,sale_price NTD,discount % off
Euro Truck Simulator 2,https://cdn.akamai.steamstatic.com/steam/apps/227300/header.jpg?t=1689679069,"['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim']",2012-10-13,Overwhelmingly Positive,484299,468.0,117.0,75
Tribes of Midgard,https://cdn.akamai.steamstatic.com/steam/apps/858820/header.jpg?t=1690811868,"['Open World Survival Craft', 'PvE', 'Online Co-Op', 'Action RPG', 'Multiplayer']",2021-07-28,Mostly Positive,14003,318.0,108.0,66
MONSTER HUNTER RISE,https://cdn.akamai.steamstatic.com/steam/apps/1446780/header.jpg?t=1687140511,"['Action', 'RPG', 'Online Co-Op', 'Multiplayer', 'Hunting']",2022-01-13,Very Positive,49063,1120.0,448.0,60
Red Dead Redemption 2,https://cdn.akamai.steamstatic.com/steam/apps/1174180/header.jpg?t=1671485009,"['Open World', 'Story Rich', 'Western', 'Adventure', 'Action']",2019-12-06,Very Positive,397219,1790.0,590.0,67
Overcooked! 2,https://cdn.akamai.steamstatic.com/steam/apps/728880/header.jpg?t=1670442579,"['Multiplayer', 'Online Co-Op', 'Local Co-Op', 'Co-op', 'Casual']",2018-08-08,Very Positive,36731,675.0,168.0,75
Monster Hunter: World,https://cdn.akamai.steamstatic.com/steam/apps/582010/header.jpg?t=1661838392,"['Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG']",2018-08-10,Very Positive,232126,920.0,460.0,50
NBA 2K23,https://cdn.akamai.steamstatic.com/steam/apps/1919590/header.jpg?t=1677540477,"['Immersive Sim', 'Sports', 'Basketball', 'Simulation', 'Multiplayer']",2022-09-09,Mixed,32447,1790.0,286.0,84
Fallout 76,https://cdn.akamai.steamstatic.com/steam/apps/1151340/header.jpg?t=1687281091,"['Dark Comedy', 'Open World', 'RPG', 'Post-apocalyptic', 'Multiplayer']",2020-04-15,Mostly Positive,45422,1199.0,299.0,75
Call of Duty : Modern Warfare,https://cdn.akamai.steamstatic.com/steam/apps/2000950/header.jpg?t=1678294805,"['Action', 'Shooter', 'FPS', 'Multiplayer', 'Singleplayer']",2023-03-09,Mostly Positive,5087,1834.0,605.0,67
American Truck Simulator,https://cdn.akamai.steamstatic.com/steam/apps/270880/header.jpg?t=1690910389,"['Automobile Sim', 'Driving', 'Open World', 'Transportation', 'Simulation']",2016-02-03,Overwhelmingly Positive,105641,468.0,117.0,75
The Witcher 3: Wild Hunt,https://cdn.akamai.steamstatic.com/steam/apps/292030/header.jpg?t=1687959506,"['Open World', 'RPG', 'Story Rich', 'Atmospheric', 'Mature']",2015-05-18,Overwhelmingly Positive,663312,868.0,260.0,70
The Elder Scrolls V: Skyrim Special Edition,https://cdn.akamai.steamstatic.com/steam/apps/489830/header.jpg?t=1650909796,"['Open World', 'RPG', 'Adventure', 'Singleplayer', 'Fantasy']",2016-10-28,Very Positive,134992,1199.0,299.0,75
