title                    ,thumbnail                                                                                 ,tags                                                                                ,release_date ,rating                  ,num_reviews ,original_price ,discount % off
Euro Truck Simulator 2   ,https://cdn.akamai.steamstatic.com/steam/apps/227300/header.jpg?t=1689679069              ,"['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim']"       ,2012-10-13   ,Overwhelmingly Positive ,     484299 ,         468.0 ,            75
Tribes of Midgard        ,https://cdn.akamai.steamstatic.com/steam/apps/858820/header.jpg?t=1690811868              ,"['Open World Survival Craft', 'PvE', 'Online Co-Op', 'Action RPG', 'Multiplayer']" ,2021-07-28   ,Mostly Positive         ,      14003 ,         318.0 ,            66
MONSTER HUNTER RISE      ,https://cdn.akamai.steamstatic.com/steam/apps/1446780/header.jpg?t=1687140511             ,"['Action', 'RPG', 'Online Co-Op', 'Multiplayer', 'Hunting']"                       ,2022-01-13   ,Very Positive           ,      49063 ,        1120.0 ,            60
Red Dead Redemption 2    ,https://cdn.akamai.steamstatic.com/steam/apps/1174180/header.jpg?t=1671485009             ,"['Open World', 'Story Rich', 'Western', 'Adventure', 'Action']"                    ,2019-12-06   ,Very Positive           ,     397219 ,        1790.0 ,            67
Overcooked! 2            ,https://cdn.akamai.steamstatic.com/steam/apps/728880/header.jpg?t=1670442579              ,"['Multiplayer', 'Online Co-Op', 'Local Co-Op', 'Co-op', 'Casual']"                 ,2018-08-08   ,Very Positive           ,      36731 ,         675.0 ,            75
NBA 2K23                 ,https://cdn.akamai.steamstatic.com/steam/apps/1919590/header.jpg?t=1677540477             ,"['Immersive Sim', 'Sports', 'Basketball', 'Simulation', 'Multiplayer']"            ,2022-09-09   ,Mixed                   ,      32447 ,        1790.0 ,            84
Fallout 76               ,https://cdn.akamai.steamstatic.com/steam/apps/1151340/header.jpg?t=1687281091             ,"['Dark Comedy', 'Open World', 'RPG', 'Post-apocalyptic', 'Multiplayer']"           ,2020-04-15   ,Mostly Positive         ,      45399 ,        1199.0 ,            75
American Truck Simulator ,https://cdn.akamai.steamstatic.com/steam/apps/270880/header.jpg?t=1690910389              ,"['Automobile Sim', 'Driving', 'Open World', 'Transportation', 'Simulation']"       ,2016-02-03   ,Overwhelmingly Positive ,     105641 ,         468.0 ,            75
Monster Hunter: World    ,https://cdn.akamai.steamstatic.com/steam/apps/582010/header.jpg?t=1661838392              ,"['Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG']"                           ,2018-08-10   ,Very Positive           ,     232126 ,         920.0 ,            50
The Witcher 3: Wild Hunt ,https://cdn.akamai.steamstatic.com/steam/apps/292030/header.jpg?t=1687959506              ,"['Open World', 'RPG', 'Story Rich', 'Atmospheric', 'Mature']"                      ,2015-05-18   ,Overwhelmingly Positive ,     663312 ,         868.0 ,            70
The Elder Scrolls Online ,https://cdn.akamai.steamstatic.com/steam/apps/306130/header.jpg?t=1689258769              ,"['RPG', 'MMORPG', 'Open World', 'Adventure', 'Fantasy']"                           ,2017-05-23   ,Very Positive           ,     112962 ,         599.0 ,            70
Planet Zoo               ,https://cdn.akamai.steamstatic.com/steam/apps/703080/header_alt_assets_1.jpg?t=1687255697 ,"['Management', 'Simulation', 'Building', 'Sandbox', 'Nature']"                     ,2019-11-05   ,Very Positive           ,      59432 ,         975.0 ,            70
